cID,ID_LAB,,Project,Origin,Farm_Com,Special,sampling_Year,Producer,Feedstock,Feedstock_grp,comp_Complete,Stones_larger_5mm,Impurities_larger_2_mm,pH_H2O,EC,NO3_N,NH4_N,NNO3_over_NNH4,OM_dry,OM_fresh,DM,Moisture,Volume_weight,OUR,Weed_seeds,Cellulose,Hemicellulose,Biodeg_pot,NDF,ADF,ADL,N_total,TC,IC,OC,C_over_N,Cd_total,Cr_total,Cu_total,Pb_total,Ni_total,Zn_total,Mn_total,As_total,P_total,K_total,Mg_total,Ca_total,Na_total,Fe_total,Al_total,Mn_CEC,Mg_CEC,Ca_CEC,K_CEC,Na_CEC,CEC_total,CEC_diff,total_bact_nspec,total_bact_gpos,total_Actinomycetes,total_bact_gneg,total_AM_fungi,total_Fungi,total_Biomass,prop_Fungi_Bact,ratio_Bact_Fungi,nem_total,nem_Simpson,nem_SW,nem_Channel,nem_Enrichment,nem_Structure,nem_Maturity,Part_size_31_5,Part_size_16,Part_size_12,Part_size_8,Part_size_4,Part_size_2,Part_size_1,Part_size_smaller_1,Bulk_dens_dry_r1,Bulk_dens_dry_r2,Bulk_dens_dry_r3,WHC_com_r1,WHC_com_r2,WHC_com_r3,WHC_com_24h_r1,WHC_com_24h_r2,WHC_com_24h_r3,WHC_com_min10kPa_r1,WHC_com_min10kPa_r2,WHC_com_min10kPa_r3,WHC_soil_r1,WHC_soil_r2,WHC_soil_r3,WHC_soil_24h_r1,WHC_soil_24h_r2,WHC_soil_24h_r3,WHC_soil_min10kPa_r1,WHC_soil_min10kPa_r2,WHC_soil_min10kPa_r3
C039,,KW_20_580,Advice_ILVO,Belgium,farm,n,2020,Johan Wouters Natuurpunt,farm_plant,green,n,,,6.44,1335,,,135,29,11.02,38,62,,1,,,,,,,,1.45,,,,,,,,,,,,,1.96,9.85,3.52,8.69,1.04,22.10,4.54,0.34,12.16,28.19,17.81,3.52,52.97,9.05,141.97,184.32,30.28,32.10,33.60,20.51,448.96,0.05,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040,,KW_20_581,Advice_ILVO,Belgium,farm,y,2020,Bart Verellen,farm_plant,green,n,,,7.12,85,,,1,84.4,19.83,23.5,76.5,,2.7,,,,,,,,0.75,,,,,,,,,,,,,0.70,1.78,0.99,8.93,0.13,2.14,1.29,0.31,6.37,32.61,3.39,0.01,41.46,1.23,140.25,139.96,17.37,90.48,95.82,111.81,633.85,0.23,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C041,2021001117,MDB_21_10/12,Advice_ILVO,Belgium,farm,n,2021,Lieven Vanassche,manure,manure,n,,,8.47,1253,68.58156185,< 40.8223582423199,3.36,62.3,18.13,29.1,70.9,420.9,13,0,,,,,,,2.45,34.90,0.12,34.80,14.20,0.55,9.00,19.69,7.30,6.00,115.70,364.70,,3.50,22.88,3.66,13.35,2.61,3.71,2.52,0.24,16.70,33.35,50.48,9.44,59.23,50.98,347.08,581.91,101.95,137.68,167.78,71.77,1417.15,0.06,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C042,2021001118,MDB_21_11/13,Advice_ILVO,Belgium,farm,n,2021,Lieven Vanassche,farm_plant,green,n,,,7.21,818,296.924152,< 59.6233236902545,9.96,62.3,14.27,22.9,77.1,366.2,8,0,,,,,,,2.36,34.10,0.05,34.00,14.40,0.37,8.90,11.20,6.30,5.80,78.90,466.30,,2.37,11.28,3.03,10.62,2.66,3.95,3.10,0.45,15.71,32.38,24.43,9.47,47.11,35.33,292.04,423.30,69.20,110.98,127.54,70.96,1118.59,0.08,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C043,2021007713,SC_C_ILVO_PHAE1_2021,Soilcom,Belgium,farm,n,2021,PHAE ILVO local composting network,manure,manure,n,,,8.89,1912,,,12.04,40,19.80,49.5,50.5,,2.4,0,11.4,6.9,1.99,27.4,20.5,9.2,1.52,23.00,0.25,22.80,14.90,,,,,,,,,3.60,19.73,3.62,17.70,2.03,4.67,3.17,,,,,,43.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C044,2021007714,SC_C_ILVO_PHAE2_2021,Soilcom,Belgium,farm,n,2021,PHAE ILVO local composting network,manure,manure,n,,,8.67,2370,,,28.24,29.1,15.54,53.4,46.6,,6.7,0,9.5,5.6,2.19,22,16.4,6.9,1.61,21.00,0.26,20.70,12.90,,,,,,,,,3.88,18.05,3.52,19.82,1.91,5.66,3.62,,,,,,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C045,,MDB_22_01/02,Advice_ILVO,Belgium,farm,n,2022,Lieven Vanassche,manure,manure,n,,,8.83,1367,57.06459712,< 26.2678304221331,4.344827586,72.6,18.30,25.2,74.8,438.1,5.7,0,,,,,,,2.71,38.30,0.18,38.30,14.10,0.56,4.60,13.39,4.40,< 2.6,109.70,301.20,,4.25,25.93,3.43,11.86,3.36,3.10,1.68,0.16,15.25,30.25,52.87,12.11,48.05,62.59,365.77,526.31,84.09,167.31,106.26,82.64,1348.10,0.07,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C046,2022005074,SC_C_PCA Greencompost,Soilcom,Belgium,com,n,2022,Renewi,green,green,n,,,8.05,1522,588.958312,10.89654601,54.05,29,17.72,61.1,38.9,600.8,4.3,,4.6,3.1,0.73,18.1,15,10.5,1.63,19.90,0.33,19.60,12.00,0.58,10.40,26.09,28.00,5.00,129.30,242.10,3.67,2.51,9.30,3.86,21.16,0.55,5.53,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C047,2022005075,SC_C_PCA Farmcompost,Soilcom,Belgium,farm,n,2022,PCG,farm_plant,green,n,,,8.73,1293,792.6964322,< 13.0023736057196,121.9310345,35.8,14.36,40.1,59.9,556.2,3.2,,9.6,6.7,1.55,26.8,20.1,10.5,1.29,19.90,< 0.18,19.90,15.40,0.44,8.20,17.68,13.10,3.80,76.30,196.10,3.42,2.92,11.19,2.76,13.45,0.56,4.42,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C048,,BEAM compost test T5.5,Soilcom,Belgium,farm,y,2022,Elena Leclercq,beam,manure,n,,,6.27,382,,,99.44827586,35.4,12.00,33.9,66.1,,2.2,,,,,,,,1.30,,,,,,,,,,,,,2.07,9.36,3.87,9.41,0.47,19.03,6.84,,,,,,54.35,,57.39,61.84,6.16,30.93,21.77,21.22,209.70,0.12,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C049,,MDB_22_13/14,Advice_ILVO,Belgium,farm,y,2022,Bart Verellen,beam,manure,n,,,8.07,269,,,1,79.5,19.00,23.9,76.1,,4.3,,,,,,,,1.22,,,,,,,,,,,,,1.68,4.15,1.82,14.06,0.16,4.17,2.24,,,,,,45.77,,303.03,268.91,25.13,220.37,185.32,296.42,1409.19,0.27,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C050,2022006890,SC_C_VanIersel2022,Soilcom,The Netherlands,com,n,2022,Van Iersel,green,green,n,0.34,0.000,7.82,482,< 16.346332151038,9.111070379,0.897058824,23.5,15.37,65.4,34.6,570.6,7.5,0,6.4,4,1.09,19.9,15.8,9.5,0.89,13.50,< 0.18,13.50,15.20,0.42,10.20,18.51,17.70,5.70,90.90,222.40,2.62,1.19,3.57,1.67,10.17,0.32,5.11,3.05,0.25,5.85,31.04,7.57,1.42,30.59,15.54,111.14,178.53,8.11,19.44,3.24,34.91,367.52,0.10,8.85,1920.00,0.15,2.26,34.55,62.47,15.76,2.75,0.00,0.00,0.00,0.07,3.76,7.02,11.60,77.55,365.66,363.49,367.67,1.90,1.83,1.89,1.68,1.66,1.70,0.73,0.70,0.73,0.78,0.76,0.76,0.72,0.70,0.71,0.38,0.38,0.37
C051,2022006891,SC_C_Orgapower2022,Soilcom,The Netherlands,com,n,2022,Orgapower van Berkel Uden,green,green,n,0.59,0.000,8.11,1061,290.3421262,< 6.53213472415246,88.89655172,19.5,12.77,65.5,34.5,677.8,1.8,0,4.3,3.4,1.04,15.1,11.7,7.4,0.91,10.90,< 0.18,10.90,11.90,0.43,8.00,19.24,16.50,6.10,103.10,253.90,3.27,1.68,5.81,1.72,10.82,0.47,5.52,2.79,0.17,7.40,33.48,12.79,1.87,29.86,25.85,85.43,83.61,4.31,24.54,10.65,23.81,241.49,0.11,8.13,2744.00,0.11,2.59,25.82,57.19,12.92,2.54,0.00,0.00,0.00,0.00,3.07,12.16,17.68,67.09,492.49,476.83,483.42,1.37,1.37,1.34,1.27,1.28,1.26,0.57,0.56,0.56,0.74,0.76,0.71,0.69,0.69,0.65,0.34,0.35,0.34
C052,2022007510,SC_C_Wagro2022,Soilcom,The Netherlands,com,n,2022,Wagro Waddinxveen,green,green,n,0.43,0.022,8.21,524,16.31934283,21.51186101,0.75862069,13.6,10.49,77.1,22.9,699.4,2.7,0,4.1,4.1,1.86,12.6,8.6,4.4,0.58,10.00,0.25,9.80,16.90,0.28,17.20,18.41,26.70,10.00,83.50,302.50,4.78,0.95,3.04,2.75,17.90,0.38,8.69,5.05,0.25,3.94,43.12,4.91,1.26,21.59,31.89,93.85,67.46,5.67,31.55,2.02,22.31,227.03,0.10,8.64,388.00,0.09,2.71,17.70,70.57,45.45,2.35,0.00,0.00,0.00,0.37,3.46,7.05,11.10,78.02,568.52,547.54,546.37,1.06,1.10,1.08,0.95,0.97,0.94,0.40,0.40,0.40,0.69,0.69,0.68,0.60,0.61,0.62,0.29,0.29,0.29
C053,2022006375-2022006378,SC_C_Bopact2022a,Soilcom,Belgium,farm,n,2022,ILVO farm composting,farm_plant,green,n,,,8.495,2940,212.7420161,< 12.4135180429147,34.27586207,33.325,13.80,41.425,58.575,563.95,5.3,,5.625,5.68,1.12,21.4,15.725,10.1,1.83,18.75,< 0.18,18.75,10.28,0.46,11.53,18.07,12.88,5.13,106.53,312.25,2.59,3.31,21.61,3.28,12.61,1.19,5.83,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C054,2022009568,PHAE compost_2022_hoop1,Soilcom,Belgium,farm,n,2022,PHAE ILVO local composting network,manure,manure,n,0.36,0.000,8.87,2350,,,,60.7,26.59,43.8,56.2,312.5,3.7,0,12.7,9.5,1.35,38.6,29.1,16.5,2.56,34.20,< 0.18,34.20,13.40,0.57,5.20,29.90,11.80,4.60,210.40,210.10,,5.83,25.28,4.44,18.65,3.98,3.34,1.74,,,,,,67.12,,354.49,639.15,28.43,184.26,63.95,164.68,1513.59,0.12,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C055,2022009569,PHAE compost_2022_hoop2,Soilcom,Belgium,farm,n,2022,PHAE ILVO local composting network,manure,manure,n,0.60,0.000,7.75,1347,,,,20.9,12.64,60.5,39.5,549.8,1.8,0,7.5,4.5,1.71,19,14.5,7,0.96,11.20,< 0.18,11.20,11.70,0.45,9.70,19.60,34.30,5.20,114.20,283.40,,2.62,8.03,2.28,12.36,0.87,5.73,4.11,,,,,,31.08,,108.10,174.41,8.20,52.14,12.45,32.75,407.13,0.09,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C056,2022009774,SC_C_IMOG2022,Soilcom,Belgium,com,n,2022,IMOG,wood,green,n,0.55,0.006,7.72,530,24.29434141,20.98147667,1.157894737,52.4,43.96,83.9,16.1,323.8,3,0,15.2,7,1.36,38.5,31.5,16.3,1.34,28.40,< 0.18,28.40,21.20,0.81,14.50,43.76,25.80,7.50,164.70,250.20,3.24,2.06,6.81,3.24,22.25,0.45,6.82,4.10,0.23,9.87,48.61,14.11,1.64,51.75,22.71,94.05,87.67,3.28,33.99,1.89,30.96,284.76,0.13,6.97,836.00,0.08,2.77,14.01,77.17,68.81,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C057,2022010889,SC_C_IVAREM2022,Soilcom,Belgium,com,n,2022,Ivarem,green,green,n,1.60,0.002,8.78,712,< 23.204777597423,228.6241203,0.050748752,40.8,24.19,59.3,40.7,443.3,4.4,0,8.3,3.7,1.00,24,20.3,12,1.35,22.70,0.20,22.50,16.70,0.68,11.20,33.73,56.20,6.50,165.10,215.40,4.62,2.10,8.47,3.43,18.51,0.49,6.88,3.15,0.15,9.23,42.89,15.65,1.53,44.48,24.97,62.82,52.92,3.53,15.46,1.98,8.36,146.72,0.06,15.69,9.00,0.12,2.49,4.34,91.24,75.67,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C058,2022010890,SC_C_Zwartespecht2022,Soilcom,Belgium,com,n,2022,Acterra,wood,green,n,0.31,0.027,8.15,846,< 26.0957654700831,212.1885192,0.061491935,49.7,26.14,52.6,47.4,444.4,3.4,0,14.4,14.9,2.38,41.5,26.6,12.3,0.82,27.70,< 0.18,27.70,33.70,0.87,24.60,31.79,7.20,25.00,143.30,484.60,2.85,2.25,10.21,7.55,32.45,5.89,16.88,14.09,0.25,9.05,62.47,8.67,2.22,44.32,38.34,124.95,113.15,7.57,57.00,14.36,51.40,380.73,0.15,5.74,76.00,0.32,1.80,2.58,93.42,7.95,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C059,2022010295-8,SC_C_Bopact2022b,Soilcom,Belgium,farm,n,2022,ILVO farm composting,farm_plant,green,n,,,7.78,3730,1475.450052,59.8387792,24.65708812,59.375,25.59,43.1,56.9,506,,,,,,,,,2.30,33.40,< 0.18,33.40,14.49,0.50,5.80,13.86,8.03,3.30,98.98,253.83,,4.09,30.98,4.08,13.94,1.34,3.33,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C060,2022011647,SC_C_Discovery2022,Soilcom,Scotland,com,n,2022,Discovery,fvg,fvg,n,4.32,0.018,7.68,1270,618.9339938,< 7.29934356248238,169.5862069,28.2,15.74,55.8,44.2,712,< 0.8,2,3.2,6.4,1.10,18.3,11.8,8.7,1.63,17.90,< 0.18,17.90,11.00,0.47,22.20,47.76,71.20,22.10,131.60,432.00,6.03,3.29,8.97,9.56,23.59,0.92,18.51,9.84,0.09,14.88,49.47,19.12,2.55,56.65,29.46,26.50,26.24,1.31,14.03,7.12,8.77,87.57,0.12,7.61,,0.15,2.19,50.70,53.69,0.28,2.76,0.00,3.85,0.00,7.20,17.28,23.79,21.21,26.67,375.94,,,1.73,1.67,1.62,1.63,1.67,1.62,0.90,0.88,0.84,0.72,0.75,0.72,0.71,0.75,0.72,0.42,0.43,0.41
C061,2022012660,SC_C_Lubeck_newfertig2022,Soilcom,Germany,com,n,2022,"EBL Biomassewerk, Lbeck",digestate,fvg,n,0.19,0.072,8,960,631.7110501,< 10.2059166866386,123.7931034,29.8,14.39,48.3,51.7,588.3,1.6,0,5.8,3.6,0.88,20,16.4,10.7,1.44,19.30,0.28,19.00,13.20,0.39,15.50,30.09,23.20,6.40,124.00,339.60,1.97,2.50,6.84,2.51,23.55,0.91,6.10,3.16,0.14,10.29,50.44,14.41,3.24,41.47,37.05,78.59,95.21,6.46,37.47,24.25,22.25,277.16,0.10,9.50,63.00,0.10,2.67,11.44,85.18,8.21,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C062,2022011693,SC_C_Btzberg2022,Soilcom,Germany,com,n,2022,EBL Biomassewerk Lbeck,digestate,fvg,n,0.61,0.013,8.13,1350,173.0258259,24.84945373,6.962962963,31.4,19.50,62.1,37.9,524.9,2.7,0,7.1,5.2,1.04,24,18.9,11.8,1.44,18.50,< 0.18,18.50,12.80,0.30,8.50,36.50,23.90,5.00,124.70,199.00,2.42,2.21,9.09,2.04,16.94,1.26,4.72,2.80,0.14,10.16,47.58,21.54,5.17,52.84,31.75,70.56,62.14,3.73,8.87,2.83,29.02,186.65,0.17,4.88,,0.20,1.99,42.32,43.24,0.71,2.47,0.00,0.00,0.00,0.34,5.48,12.23,19.12,62.83,303.91,309.54,310.28,2.43,2.54,2.45,2.12,2.26,2.20,0.91,0.94,0.93,0.79,0.81,0.83,0.71,0.70,0.75,0.45,0.45,0.47
C063,2022011241,SC_C_Sandtholdt2022,Soilcom,Denmark,com,n,2022,SandtholdtLyndelse,green,green,n,3.86,0.002,8.45,310,< 24.7692400147478,< 11.7755403348801,1,25.6,13.47,52.6,47.4,468.2,10,0,6.3,4.7,1.17,20.4,15.6,9.4,1.24,24.50,< 0.18,24.50,19.70,0.26,6.30,12.88,10.40,6.00,67.40,270.00,2.82,1.38,3.95,1.65,14.46,0.17,6.22,3.75,0.35,6.85,42.17,10.27,0.86,41.44,19.06,105.87,64.82,11.08,27.21,9.99,70.32,312.06,0.26,2.81,1020.00,0.17,2.11,3.32,89.60,54.86,1.80,0.00,0.00,0.00,6.51,11.18,19.58,21.90,40.83,237.45,244.40,255.31,3.03,2.91,3.00,2.46,2.48,2.39,0.90,0.87,0.82,0.80,0.80,0.76,0.74,0.73,0.69,0.43,0.42,0.43
C064,2022011242,SC_C_Klintholm2022,Soilcom,Denmark,com,n,2022,Klintholm,green,green,n,3.97,0.001,7.62,1290,653.9075705,< 6.77019619561665,193.1724138,17.8,11.02,61.9,38.1,692,2.7,0,3.6,3.3,1.19,12.7,9.4,5.8,1.02,10.40,0.26,10.10,9.90,0.28,9.50,22.78,12.80,8.90,77.40,272.90,3.10,1.58,5.33,2.41,16.41,0.52,8.25,4.20,0.19,7.27,46.97,14.46,2.55,35.57,35.87,31.26,29.01,2.48,13.15,2.75,8.66,89.45,0.11,8.48,0.00,0.10,2.63,12.25,81.39,12.16,2.33,0.00,0.26,0.00,4.36,13.47,18.75,22.12,41.04,453.99,459.85,460.78,1.25,1.39,1.52,1.12,1.19,1.28,0.56,0.61,0.68,0.73,0.77,0.70,0.64,0.69,0.63,0.37,0.39,0.37
C065,2019000409,B@W-WP2-06_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,8.84,851,18.89736571,< 14.9979092914448,2.52,25.5,17.90,70.2,29.8,474.9,6.4,,8.8,3.3,1.55,19.8,16.6,7.81,1.76,22.75,0.24,22.51,12.96,0.26,10.40,24.07,61.30,5.00,193.80,192.20,,1.93,6.96,3.04,19.32,0.37,7.63,3.89,,,,,,,,112.52,158.34,35.90,46.02,18.31,22.36,389.29,0.07,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C066,2019000410,B@W-WP2-07_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,8.88,1702,< 15.7160351335109,568.2918304,0.013827434,36.1,28.59,79.2,20.8,401.7,7.2,,8.9,3.9,1.16,23.8,19.9,11,1.97,19.53,0.46,19.07,9.91,0.08,10.30,25.92,26.10,5.50,115.30,188.10,,2.90,13.08,4.15,28.89,0.86,6.54,3.96,,,,,,,,74.79,143.66,40.24,10.80,0.51,28.13,291.36,0.11,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C067,2019000411,B@W-WP2-08_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,8.48,1156,< 23.0204274064634,64.45719674,0.178571429,43.3,26.15,60.4,39.6,359.6,11.7,,12.1,4.2,1.30,28.9,24.7,12.57,1.62,25.74,< 0.08,25.74,15.91,0.04,12.20,23.40,27.40,6.60,123.00,203.00,,2.06,8.98,2.68,18.73,0.60,7.30,3.89,,,,,,,,121.08,219.37,62.51,54.89,7.52,80.29,530.28,0.17,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C068,2019000415,B@W-WP2-12_C,BaW_Vlaco,Belgium,com,n,2019,,peat,green,n,,,6.89,1253,3968.748825,< 49.4856461934651,160.4,82.3,24.44,29.7,70.3,340.2,1.2,,28.1,10.7,1.22,70.4,59.8,31.73,1.95,46.68,< 0.08,46.68,23.97,0.16,4.20,107.47,3.00,4.10,95.70,273.20,,0.80,0.92,7.62,30.21,3.80,3.24,1.48,,,,,,,,63.69,86.02,9.41,35.65,22.30,13.66,243.17,0.07,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C069,2019000417,B@W-WP2-14_C,BaW_Vlaco,Belgium,com,n,2019,,wood,green,n,,,7.54,361,< 18.780668832203,< 18.780668832203,1,37.2,19.94,53.6,46.4,496.7,2.8,,8.1,5.2,1.18,24.5,19.3,11.26,1.18,19.90,0.16,19.74,16.80,0.07,11.40,14.70,50.30,7.40,75.40,205.50,,1.13,3.06,1.88,19.11,0.42,10.63,5.70,,,,,,,,179.68,172.69,33.80,63.71,18.40,61.66,567.43,0.13,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C070,2019000419,B@W-WP2-16_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,7.87,1273,505.9739001,28.57572804,17.70642202,30.9,20.33,65.8,34.2,579.7,3.1,,5.4,2.8,0.71,19.8,17,11.58,2.18,24.21,0.44,23.77,11.11,0.32,9.40,31.01,28.20,3.90,156.80,167.20,,2.11,8.96,4.38,22.50,0.40,6.87,2.61,,,,,,,,61.92,72.18,17.56,24.50,3.75,17.06,190.36,0.10,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C071,2019000420,B@W-WP2-17_C,BaW_Vlaco,Belgium,com,n,2019,,fvg,fvg,n,,,9.15,2550,< 14.4805647651947,1160.182849,0.006240639,36.1,25.78,71.4,28.6,483.6,8.1,,8.4,3.4,1.11,22.5,19,10.65,2.20,19.08,0.37,18.71,8.69,0.28,17.30,48.14,31.30,4.40,176.20,231.70,,4.29,11.35,4.46,29.72,2.75,6.02,3.41,,,,,,,,45.59,80.56,15.42,21.53,0.79,6.74,215.05,0.04,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C072,2019000421,B@W-WP2-18_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,7.48,804,< 21.9286127170165,36.84006936,0.297619048,48.1,28.19,58.6,41.4,389.1,16,,13.8,4.8,1.16,34.5,29.8,15.98,1.56,24.92,< 0.08,24.92,15.93,0.40,8.30,28.76,44.00,4.00,123.60,155.20,,1.93,7.77,2.67,18.80,0.44,5.20,2.53,,,,,,,,169.69,205.52,56.05,18.62,1.13,90.88,530.16,0.19,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C073,2019000422,B@W-WP2-19_C,BaW_Vlaco,Belgium,com,n,2019,,digestate,fvg,n,,,8.5,3030,1228.269085,1906.95671,0.644099092,38.1,26.14,68.6,31.4,496.8,7.2,,7.1,5.4,1.13,23.6,18.2,11.1,2.35,22.74,0.50,22.24,9.70,0.56,16.60,37.32,55.10,9.80,166.50,152.00,,4.20,8.08,4.37,32.18,2.67,7.78,4.02,,,,,,,,169.60,244.30,63.29,48.94,2.99,63.50,581.64,0.12,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C074,2019000423,B@W-WP2-20_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,8.85,829,< 25.0720068035398,308.8871238,0.040584416,49.4,26.08,52.8,47.2,377.7,3.8,,13.1,5.8,1.00,37.8,32,18.95,2.26,27.36,0.35,27.01,12.09,0.21,10.80,21.55,18.60,5.30,105.90,298.10,,2.73,11.44,4.87,28.13,0.48,7.59,3.81,,,,,,,,77.88,258.09,67.52,10.23,1.35,13.42,381.06,0.04,25.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C075,2019000449,B@W-WP2-21_C,BaW_Vlaco,Belgium,com,n,2019,,fvg,fvg,n,,,8.79,1464,145.9809368,732.7590601,0.199220924,46.1,26.51,57.5,42.5,426.5,5.8,,10.5,6.8,1.21,31.6,24.8,14.35,2.78,28.80,0.37,28.43,10.34,0.01,13.70,30.29,23.00,5.80,138.60,169.60,,4.25,10.37,3.53,31.05,1.68,7.62,3.81,,,,,,,,200.70,317.29,75.32,36.81,10.60,50.76,657.84,0.08,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C076,2019000451,B@W-WP2-23_C,BaW_Vlaco,Belgium,com,n,2019,,green,green,n,,,8.01,1677,< 19.4280083493809,694.7455786,0.013982103,40.2,29.63,73.7,26.3,349.2,11.7,,8.1,3.9,0.95,24.6,20.7,12.62,2.29,24.21,0.39,23.82,10.57,0.05,9.00,26.03,23.10,5.00,116.70,197.40,,2.74,13.06,4.55,29.56,0.99,6.01,3.77,,,,,,,,79.10,162.78,43.34,7.80,0.54,24.28,293.53,0.09,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C077,2020001444,B@W-WP2-56_C,BaW_Vlaco,Belgium,com,n,2020,,green,green,n,,,8.4,488,111.3019581,51.18515974,2.174496644,31.4,17.84,56.8,43.2,512.5,3.9,,5.8,2.7,0.71,20.4,17.7,11.93,1.11,14.50,0.26,14.24,13.20,,,,,,,,,1.58,5.17,3.68,19.00,0.33,5.42,2.44,,,,,,,,58.51,80.41,18.41,27.34,4.88,22.39,204.45,0.12,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C078,2020003378,B@W-WP2-57_C,BaW_Vlaco,Belgium,com,n,2020,,peat,green,n,,,7.81,435,385.8713677,< 53.1503261304011,14.52,75.5,17.21,22.8,77.2,412.6,2.4,,29.4,13.7,2.01,64.5,50.8,21.43,1.22,40.10,0.15,39.95,33.00,0.31,9.60,25.04,11.80,3.00,128.50,228.30,,1.59,8.07,4.47,24.14,0.99,3.21,1.50,,,,,,,,106.96,92.48,11.03,62.88,21.25,23.43,334.87,0.08,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C079,2020003379,B@W-WP2-58_C,BaW_Vlaco,Belgium,com,n,2020,,wood,green,n,,,9.15,422,< 22.6005350902688,< 22.6005350902688,1,49.8,22.76,45.7,54.3,484.1,1.6,,18.6,13.9,1.92,49.4,35.5,16.9,0.73,27.50,0.18,27.32,38.00,0.79,23.30,32.70,3.00,22.10,127.30,422.80,,2.20,13.31,8.03,30.62,7.53,20.14,15.29,,,,,,,,95.22,161.43,20.89,46.00,63.50,19.63,412.49,0.06,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C080,2020004182,IMOG/VLACO/NOV,BaW_Vlaco,Belgium,com,n,2020,,green,green,n,,,8.76,1051,57.0868257,136.2408277,0.419014085,46.7,21.58,46.2,53.8,451.2,6.4,,9,5.2,0.83,31.3,26.1,17.16,1.67,26.40,0.37,26.03,15.80,,,,,,,,,2.55,12.06,4.21,32.51,1.00,6.81,3.32,,,,,,,,179.72,233.70,44.82,71.27,7.56,11.09,524.50,0.02,43.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C081,2020004183,IMOG/VLACO/DEC,BaW_Vlaco,Belgium,com,n,2020,,green,green,n,,,8.59,939,26.78621779,67.20051129,0.398601399,42.1,19.37,46,54,462.6,7.1,,8.2,4.8,0.86,28.2,23.4,15.19,1.59,26.20,0.35,25.85,16.40,,,,,,,,,2.10,8.92,3.74,30.07,0.77,7.88,3.36,,,,,,,,166.67,233.91,44.70,57.82,10.27,25.05,525.37,0.05,18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
